PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,NAME
1628690,2017-18,20,1612709909,DEL,29.0,43,40,26.2,2.2,5.8,0.371,1.2,3.8,0.315,0.7,0.8,0.8,0.4,1.4,1.8,2.1,0.8,0.1,1.6,2.7,6.2,Tyshawn Abbott
1628638,2017-18,20,1612709915,MNE,25.0,41,12,17.4,1.8,4.7,0.383,1.2,3.5,0.338,0.3,0.4,0.75,0.4,2.3,2.8,0.6,0.2,0.1,0.5,0.9,5.1,Josh Adeyeye
1627000,2017-18,20,1612709890,AUS,26.0,28,0,8.1,1.3,2.4,0.537,0.3,0.9,0.308,0.2,0.2,1.0,0.4,1.4,1.8,0.5,0.3,0.1,0.4,0.9,3.1,Daniel Alexander
1628576,2017-18,20,1612709889,OKL,23.0,50,27,30.9,4.9,12.0,0.412,3.7,9.2,0.404,1.9,2.4,0.793,0.5,2.4,2.8,2.0,0.9,0.1,1.2,1.0,15.5,Bryce Alford
1628614,2017-18,20,0,TOT,23.0,46,22,23.5,2.5,5.4,0.456,0.6,1.6,0.397,0.9,1.3,0.741,0.8,1.9,2.7,1.1,1.3,0.5,0.9,2.4,6.5,Dakarai Allen
1628443,2017-18,20,1612709915,MNE,25.0,34,33,34.5,6.7,15.0,0.446,1.2,4.1,0.3,3.1,4.2,0.732,1.5,4.0,5.5,5.0,2.2,0.6,2.4,2.4,17.7,Kadeem Allen
202730,2017-18,20,1612709900,NAS,29.0,10,9,21.3,3.9,6.7,0.582,0.0,0.0,0.0,1.2,1.5,0.8,3.4,2.9,6.3,2.4,0.7,1.1,1.2,2.5,9.0,Lavoy Allen
1628875,2017-18,20,1612709904,SXF,23.0,2,0,11.5,3.0,6.5,0.462,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,1.0,7.5,Seth Allen
101187,2017-18,20,1612709925,LAK,35.0,15,2,24.1,5.4,10.9,0.497,1.5,4.1,0.355,2.4,3.3,0.735,0.4,2.6,3.0,2.1,1.2,0.1,1.9,2.1,14.7,Alan Anderson
1627853,2017-18,20,1612709923,WCB,24.0,37,37,39.5,4.6,10.0,0.457,2.0,4.4,0.451,2.7,3.2,0.833,0.5,4.5,5.0,8.6,1.8,0.2,2.8,2.9,13.8,Ryan Arcidiacono
1628503,2017-18,20,1612709925,LAK,25.0,46,46,37.6,7.4,16.0,0.462,1.9,5.7,0.34,2.8,3.5,0.79,1.4,4.4,5.8,2.5,1.2,0.4,2.4,2.5,19.5,Jamel Artis
1626165,2017-18,20,1612709918,TEX,23.0,45,42,30.8,5.8,13.4,0.433,1.6,4.9,0.329,3.0,4.2,0.718,2.0,4.4,6.3,1.5,1.1,1.3,1.9,3.8,16.2,Brandon Ashley
1627649,2017-18,20,1612709914,RNO,24.0,15,1,16.5,3.4,8.4,0.405,0.5,2.0,0.233,1.9,2.4,0.778,0.7,2.0,2.7,1.5,0.8,0.2,0.8,2.5,9.1,Brandon Austin
1627938,2017-18,20,1612709918,TEX,26.0,50,6,18.5,2.5,5.5,0.444,0.7,2.2,0.295,1.0,1.2,0.845,1.6,3.6,5.2,1.8,0.7,0.2,0.8,1.8,6.6,J.J. Avila
1628779,2017-18,20,1612709911,IWA,23.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Tre'Lun Banks
1627760,2017-18,20,1612709922,GBO,23.0,29,14,29.0,6.1,13.9,0.437,0.9,3.1,0.303,3.8,4.8,0.799,0.9,2.5,3.4,4.6,0.9,0.1,2.3,2.1,16.9,Cat Barber
1628625,2017-18,20,1612709915,MNE,28.0,37,8,16.3,1.9,4.4,0.423,0.9,2.8,0.327,0.3,0.4,0.667,0.6,2.1,2.8,0.8,0.4,0.3,0.6,2.3,4.9,Drew Barham
1628654,2017-18,20,1612709919,WES,26.0,32,3,16.2,1.9,5.2,0.37,0.7,1.8,0.373,0.9,1.2,0.811,1.1,1.5,2.6,0.7,1.1,0.3,0.5,1.4,5.4,Devon Baulkman
1628431,2017-18,20,1612709905,SBL,23.0,36,18,19.8,3.1,7.1,0.435,1.6,4.1,0.399,0.8,0.9,0.875,0.4,1.9,2.3,0.5,0.5,0.4,0.6,1.1,8.6,V.J. Beachem
1627862,2017-18,20,1612709913,ERI,24.0,20,2,16.8,1.9,5.0,0.37,1.1,3.3,0.333,1.1,1.4,0.786,0.6,2.9,3.5,0.9,0.4,0.4,1.4,1.9,5.9,Beau Beech
203461,2017-18,20,0,TOT,25.0,35,32,26.9,5.0,10.7,0.468,2.6,6.1,0.423,1.8,2.3,0.775,1.9,4.9,6.8,1.8,1.0,0.6,2.1,2.0,14.3,Anthony Bennett
204310,2017-18,20,1612709920,RAP,26.0,46,7,24.8,3.8,8.8,0.437,1.5,4.4,0.338,2.7,3.2,0.838,0.3,2.0,2.3,2.4,0.8,0.1,1.3,2.2,11.8,Davion Berry
1628700,2017-18,20,1612709920,RAP,26.0,47,39,26.1,2.6,6.1,0.427,1.4,3.6,0.376,1.3,1.6,0.813,0.5,2.0,2.5,1.7,0.6,0.0,1.2,2.0,7.9,Aaron Best
1628609,2017-18,20,1612709914,RNO,23.0,30,2,12.3,1.6,4.6,0.345,1.0,2.8,0.349,0.8,1.1,0.75,0.4,1.9,2.3,0.4,0.3,0.1,0.4,0.8,5.0,Michael Bethea Jr.
1627896,2017-18,20,1612709893,CTN,24.0,42,4,16.5,2.9,5.1,0.558,0.0,0.2,0.286,1.5,2.0,0.744,2.1,2.4,4.5,0.5,0.6,1.0,0.5,1.6,7.2,Gerald Beverly
1628444,2017-18,20,1612709915,MNE,23.0,20,20,35.2,7.8,15.0,0.518,1.9,5.9,0.325,1.9,3.1,0.597,1.7,4.1,5.7,2.7,1.4,0.5,2.2,1.9,19.3,Jabari Bird
1628511,2017-18,20,0,TOT,23.0,47,20,28.5,4.7,10.4,0.457,2.1,5.3,0.406,2.7,3.2,0.853,0.5,3.3,3.7,2.1,0.6,0.0,1.4,1.7,14.4,James Blackmon Jr.
1628469,2017-18,20,1612709923,WCB,21.0,32,32,38.3,11.0,24.0,0.459,2.8,8.0,0.353,7.2,8.4,0.862,0.7,5.8,6.6,3.9,1.3,0.5,2.9,1.8,32.0,Antonio Blakeney
1628417,2017-18,20,1612709890,AUS,24.0,50,48,29.6,7.1,13.0,0.545,0.4,1.5,0.301,1.9,2.4,0.785,2.4,5.8,8.2,1.4,0.8,0.5,1.4,1.9,16.5,Jaron Blossomgame
1627762,2017-18,20,1612709927,WIS,24.0,30,29,33.2,6.6,11.9,0.556,0.5,1.6,0.319,2.7,3.3,0.8,3.4,6.2,9.6,1.3,0.7,0.6,1.8,1.6,16.4,Joel Bolomboy
1628449,2017-18,20,1612709902,SCW,25.0,20,8,22.2,4.6,9.7,0.469,0.6,2.5,0.224,2.1,3.4,0.618,2.8,4.7,7.5,0.9,0.5,2.1,0.9,2.3,11.8,Chris Boucher
1628616,2017-18,20,1612709904,SXF,24.0,33,1,13.3,1.6,3.5,0.452,0.5,1.4,0.348,0.7,0.8,0.885,0.3,1.4,1.7,1.8,0.3,0.1,0.8,1.1,4.3,Jalen Bradley
1628653,2017-18,20,1612709905,SBL,22.0,50,7,21.5,4.1,9.7,0.425,0.9,2.8,0.314,1.5,2.5,0.591,2.0,3.8,5.8,1.0,1.4,0.8,1.5,1.5,10.6,Stephaun Branch
1628579,2017-18,20,1612709903,SLC,26.0,45,34,32.7,3.6,7.9,0.456,1.7,4.3,0.389,1.3,1.6,0.781,0.8,4.7,5.5,3.0,1.6,0.3,1.1,2.5,10.1,Taylor Braun
1628578,2017-18,20,1612709890,AUS,24.0,48,4,22.6,2.6,4.4,0.603,0.0,0.0,0.0,1.4,2.2,0.607,2.2,5.2,7.4,0.7,0.3,2.6,1.3,3.0,6.6,Amida Brimah
1626148,2017-18,20,1612709911,IWA,25.0,45,43,37.7,7.1,15.4,0.459,2.2,5.4,0.404,2.5,3.1,0.794,0.5,4.3,4.8,3.7,0.7,0.3,2.7,2.1,18.9,Anthony Brown
203913,2017-18,20,1612709902,SCW,25.0,9,8,27.8,5.9,13.4,0.438,2.6,7.3,0.348,1.4,2.0,0.722,0.1,1.8,1.9,2.2,0.9,0.0,2.6,2.7,15.8,Jabari Brown
203900,2017-18,20,0,TOT,26.0,31,27,31.9,5.9,13.1,0.447,2.6,7.5,0.355,2.4,3.1,0.789,0.8,3.6,4.5,2.8,1.3,0.4,1.7,1.6,16.8,Markel Brown
200769,2017-18,20,0,TOT,32.0,44,9,17.6,2.1,5.3,0.4,0.3,1.2,0.294,0.7,1.0,0.721,0.5,1.5,2.1,0.9,0.7,0.1,0.9,1.2,5.3,Shannon Brown
1628665,2017-18,20,0,TOT,22.0,45,7,20.6,3.0,7.0,0.424,1.4,3.6,0.372,0.8,1.0,0.787,1.1,3.4,4.4,0.6,0.4,0.4,1.0,2.2,8.1,Vitto Brown
1628876,2017-18,20,1612709909,DEL,23.0,2,1,22.0,3.0,6.0,0.5,2.5,5.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,1.0,8.5,Jared Brownridge
1628164,2017-18,20,1612709911,IWA,23.0,47,27,23.5,2.9,6.0,0.479,1.5,3.4,0.429,1.0,1.2,0.821,0.3,2.2,2.6,1.0,0.6,0.7,1.3,2.3,8.1,Michael Bryson
203907,2017-18,20,1612709903,SLC,26.0,43,14,22.0,2.1,5.2,0.409,0.4,1.5,0.281,1.8,2.4,0.724,0.3,1.9,2.2,3.0,0.8,0.2,1.4,2.2,6.5,Deonte Burton
1628850,2017-18,20,1612709925,LAK,23.0,20,5,16.0,2.4,4.9,0.49,0.8,2.1,0.366,0.7,1.0,0.737,1.4,3.2,4.6,1.2,1.0,0.8,0.7,2.9,6.3,Antonio Campbell
1628856,2017-18,20,1612709889,OKL,25.0,11,1,18.6,2.4,5.8,0.406,1.2,2.8,0.419,1.1,1.4,0.8,0.8,3.3,4.1,0.6,1.4,0.5,0.5,2.5,7.0,Michael Carrera
1627936,2017-18,20,1612709905,SBL,24.0,29,25,30.7,6.5,13.0,0.499,1.5,3.8,0.387,4.5,5.5,0.824,0.8,3.0,3.8,7.8,2.0,0.4,4.1,2.6,19.0,Alex Caruso
1626271,2017-18,20,1612709927,WIS,27.0,47,38,24.1,2.8,6.4,0.442,0.6,1.8,0.361,1.5,1.7,0.864,0.8,4.0,4.9,2.0,0.7,0.8,1.5,2.9,7.8,Kyle Casey
1628505,2017-18,20,1612709925,LAK,22.0,50,50,37.7,5.6,12.8,0.436,1.6,4.7,0.347,2.9,3.4,0.841,1.3,6.2,7.5,5.8,1.4,0.2,2.0,1.5,15.6,Troy Caupain
1627899,2017-18,20,0,TOT,25.0,10,0,15.2,2.5,4.8,0.521,0.8,2.2,0.364,0.7,1.0,0.7,0.5,1.5,2.0,0.7,0.7,0.0,1.2,0.9,6.5,Quinton Chievous
1627396,2017-18,20,1612709889,OKL,25.0,49,39,23.9,3.6,5.3,0.673,0.0,0.0,0.0,1.2,2.2,0.518,2.3,2.4,4.7,0.6,0.6,0.5,1.1,2.2,8.3,Mike Cobbins
1628435,2017-18,20,1612709926,MHU,22.0,45,14,18.3,3.6,6.2,0.586,0.0,0.0,0.0,1.9,2.6,0.714,2.6,3.1,5.8,0.7,0.3,0.7,1.0,2.2,9.2,Chance Comanche
1628429,2017-18,20,0,TOT,23.0,25,10,25.3,4.8,10.5,0.456,1.0,3.6,0.278,2.2,3.6,0.604,0.8,3.2,4.0,1.8,1.3,0.4,2.4,1.4,12.8,Charles Cooke
